StudentID,Age,StudyTimeWeekly,Absences,GPA,Gender,Ethnicity,ParentalEducation,Tutoring,ParentalSupport,ClubInvolvement,Sports,Music,Volunteering,GradeClass
1001,17,19.83372281,7,2.929195592,Female,Caucasian,Some College,Yes,Moderate,No,No,Yes,No,C
1002,18,15.40875606,0,3.042914833,Male,Caucasian,High School,No,Low,No,No,No,No,B
1003,15,4.210569769,26,0.112602254,Male,Asian,Bachelor's,No,Moderate,No,No,No,No,F
1004,17,10.02882947,14,2.05421814,Female,Caucasian,Bachelor's,No,High,Yes,No,No,No,D
1005,17,4.672495273,17,1.288061182,Female,Caucasian,Some College,Yes,High,No,No,No,No,F
1006,18,8.191218545,0,3.084183614,Male,Caucasian,High School,No,Low,Yes,No,No,No,B
1007,15,15.60168047,10,2.748237415,Male,African American,High School,No,High,No,Yes,No,No,C
1008,15,15.42449631,22,1.360142712,Female,African American,Higher,Yes,Low,Yes,No,No,No,F
1009,17,4.562007558,1,2.89681919,Male,Caucasian,nan,No,Moderate,No,Yes,No,Yes,C
1010,16,18.44446636,0,3.57347421,Female,Caucasian,High School,No,High,Yes,No,No,No,A
1011,17,11.85136366,11,2.147171625,Male,Caucasian,High School,No,Low,No,No,No,No,D
1012,17,7.598485819,15,1.559594519,Male,Caucasian,High School,No,Moderate,No,No,No,Yes,F
1013,17,10.03871162,21,1.520077815,Male,African American,High School,No,High,Yes,No,No,No,F
1014,17,12.10142507,21,1.751580958,Male,African American,Some College,No,Very High,No,Yes,No,No,F
1015,18,11.19781064,9,2.396788117,Female,Caucasian,High School,Yes,Moderate,No,No,No,No,D
1016,15,9.728100711,17,1.341520717,Male,Caucasian,Some College,Yes,nan,No,Yes,No,No,F
1017,18,10.09865608,14,2.232175278,Male,Other,High School,No,Moderate,Yes,Yes,No,No,D
1018,18,3.528238209,16,1.384404176,Female,Caucasian,nan,Yes,Moderate,No,No,No,No,F
1019,18,16.25465809,29,0.469553323,Male,African American,Bachelor's,No,Moderate,Yes,No,No,Yes,F
1020,17,10.8352064,9,2.395784095,Male,Caucasian,High School,No,Moderate,No,No,Yes,No,D
1021,16,2.621597234,2,2.7784113,Female,Caucasian,Bachelor's,No,High,No,No,No,Yes,C
1022,15,15.32314203,25,0.346894037,Male,Caucasian,Some College,No,Low,Yes,No,No,No,F
1023,16,18.64887957,29,0.312546231,Female,African American,nan,Yes,Low,No,No,No,No,F
